FraudFound_P,Month,DayOfWeek,Make,AccidentArea,Sex,MaritalStatus,Age,PolicyType,VehiclePrice,Deductible,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
0,2,6,6,1,0,2,-1.3975535068833362,5,5,-2.450633152843084,2,3,1,3,0,0,0,3,0,2,2
0,4,6,6,1,1,2,-0.43401521522942293,4,5,-0.17529818073082784,2,3,4,4,1,0,0,3,3,0,1
0,10,0,6,1,1,1,0.5295230764244904,4,5,-0.17529818073082784,2,0,5,6,0,0,0,3,3,0,1
0,6,2,17,0,1,1,1.863653018714524,2,0,-0.17529818073082784,2,0,6,7,1,0,0,2,3,0,2
0,4,1,6,1,0,2,-0.9528435261199916,4,5,-0.17529818073082784,2,3,3,4,0,0,0,3,3,0,1
0,10,0,6,1,1,2,-1.4716718370105601,4,5,-0.17529818073082784,2,3,3,2,0,0,0,1,3,0,1
0,3,2,6,1,1,1,-0.28577855497497473,4,5,-0.17529818073082784,2,0,5,5,0,0,0,0,3,0,1
0,9,0,6,1,1,2,-2.9540384395550423,4,5,-0.17529818073082784,2,0,7,0,0,0,0,3,3,0,1
0,2,2,6,1,1,2,-0.7304885357383193,4,5,-0.17529818073082784,2,3,4,4,0,1,0,1,3,0,1
0,0,5,5,1,1,1,0.15893142578836986,6,5,-0.17529818073082784,2,1,6,5,0,0,0,1,3,0,0
0,7,3,9,1,1,2,2.3083629994778687,0,5,-0.17529818073082784,2,3,6,8,0,0,0,3,3,0,0
0,7,1,6,1,1,1,0.9001147270606108,2,0,-0.17529818073082784,2,1,6,6,0,0,0,3,3,0,2
0,4,0,5,1,1,1,-0.8787251959927674,2,5,-0.17529818073082784,2,0,5,4,0,0,0,3,3,0,2
0,4,0,6,0,1,2,-2.9540384395550423,1,5,-0.17529818073082784,2,3,7,0,0,0,0,3,3,0,1
0,4,1,5,1,1,1,1.5671796982056276,2,5,-0.17529818073082784,2,3,6,7,0,0,0,3,3,0,2
0,1,5,5,1,1,2,-0.13754189472052653,2,5,-0.17529818073082784,2,3,4,5,0,0,0,3,3,0,2
0,0,4,5,1,1,1,0.08481309566114575,0,5,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,0
0,5,3,2,1,0,1,-0.8787251959927674,1,0,-0.17529818073082784,2,3,5,4,0,0,0,0,3,0,1
0,8,4,13,1,1,2,-0.5822518754838711,2,0,-0.17529818073082784,2,0,5,4,0,0,0,3,3,0,2
0,0,1,6,1,1,1,-0.7304885357383193,2,5,-0.17529818073082784,2,1,4,4,0,0,0,2,3,0,2
0,0,0,9,1,1,1,0.01069476553392166,2,0,-0.17529818073082784,2,0,6,5,0,0,0,2,3,0,2
0,4,2,2,1,1,1,0.5295230764244904,1,0,-0.17529818073082784,2,0,6,6,0,0,0,3,2,1,1
0,1,3,9,1,1,1,1.715416358460076,2,0,-0.17529818073082784,2,0,6,7,0,0,0,0,3,0,2
0,6,2,13,1,1,2,-0.6563702056110952,2,1,-0.17529818073082784,2,3,4,4,0,0,0,1,3,0,2
0,11,0,9,1,1,1,0.3812864161700421,0,5,-0.17529818073082784,2,2,6,5,1,0,0,3,3,0,0
0,7,1,13,1,1,1,1.4930613680784035,2,0,-0.17529818073082784,2,2,6,7,0,0,0,3,3,0,2
0,7,4,6,1,1,1,-1.3975535068833362,1,1,-0.17529818073082784,2,2,3,3,0,0,0,2,3,0,1
0,8,3,0,1,1,1,0.15893142578836986,0,1,-0.17529818073082784,2,1,5,5,0,0,0,0,3,0,0
1,5,2,6,1,1,2,-2.9540384395550423,0,5,-0.17529818073082784,2,3,7,0,0,0,0,3,3,0,0
0,8,1,9,1,0,1,-0.06342356459330244,1,0,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,1
0,7,0,3,1,1,1,0.5295230764244904,1,1,-0.17529818073082784,2,1,6,6,0,0,1,3,3,0,1
0,7,3,6,1,1,2,-2.9540384395550423,1,5,-0.17529818073082784,2,0,7,0,0,0,0,3,3,0,1
0,7,6,2,1,1,2,0.15893142578836986,1,0,-0.17529818073082784,2,2,5,5,0,0,0,1,3,0,1
0,4,1,6,1,1,2,-0.7304885357383193,1,0,-0.17529818073082784,2,3,4,4,0,0,0,0,3,0,1
0,4,5,5,1,1,1,0.15893142578836986,6,5,-0.17529818073082784,2,1,5,5,0,0,0,3,3,0,0
0,10,6,2,1,1,2,-0.43401521522942293,2,0,-0.17529818073082784,2,1,5,4,0,0,0,2,3,0,2
0,10,5,6,1,1,1,-0.7304885357383193,1,0,-0.17529818073082784,2,3,4,4,0,0,0,2,3,0,1
0,11,0,9,1,1,2,-0.9528435261199916,1,1,-0.17529818073082784,2,3,5,4,0,0,0,2,3,0,1
0,9,5,6,1,1,1,1.122469717442283,4,5,-0.17529818073082784,2,3,6,6,0,0,0,3,3,0,1
0,9,4,17,1,1,1,-0.3598968851021988,1,0,-0.17529818073082784,2,3,5,4,0,0,0,0,3,0,1
0,7,6,2,1,0,1,-0.3598968851021988,1,0,-0.17529818073082784,2,1,4,4,0,0,0,2,3,0,1
0,7,0,13,1,1,1,0.30716808604281803,0,0,-0.17529818073082784,2,1,5,5,0,0,0,1,3,2,0
0,5,1,17,1,0,2,0.15893142578836986,2,0,-0.17529818073082784,2,3,2,5,0,0,0,3,2,1,2
0,4,5,6,1,1,1,0.08481309566114575,1,0,-0.17529818073082784,2,1,5,5,0,0,0,0,3,0,1
0,4,6,17,1,1,1,2.382481329605093,1,0,-0.17529818073082784,2,3,6,8,0,0,0,3,3,0,1
0,3,6,13,1,0,1,-0.8046068658655434,0,4,-0.17529818073082784,2,1,3,4,0,0,0,3,3,0,0
0,3,4,13,1,1,2,-0.5822518754838711,1,1,-0.17529818073082784,2,3,4,4,0,0,1,3,3,0,1
0,9,4,9,1,1,1,-0.21166022484775063,2,1,-0.17529818073082784,2,1,3,5,0,0,0,2,3,0,2
0,0,4,2,1,0,1,-0.21166022484775063,2,5,-0.17529818073082784,2,1,4,5,0,0,0,1,3,0,2
0,0,0,13,1,1,1,1.4189430379511794,1,0,-0.17529818073082784,2,2,6,7,0,0,0,1,3,0,1
0,8,0,13,1,1,1,0.6777597366789385,2,1,-0.17529818073082784,2,2,6,6,0,0,0,3,3,0,2
0,6,6,13,1,1,1,-0.9528435261199916,2,0,2.100036791381428,2,1,4,4,0,0,0,1,1,0,2
1,5,3,6,0,1,1,-1.3975535068833362,4,5,-0.17529818073082784,2,3,2,3,0,0,0,1,3,0,1
1,5,2,6,1,1,1,0.7518780668061626,1,0,-0.17529818073082784,2,3,6,6,0,0,0,1,3,0,1
0,6,5,13,1,1,2,0.3812864161700421,1,1,-0.17529818073082784,2,0,5,5,0,0,0,0,3,0,1
0,2,1,9,1,1,1,0.6777597366789385,0,0,-0.17529818073082784,2,3,6,6,0,0,0,1,3,0,0
0,6,0,6,1,1,2,-0.7304885357383193,0,0,-0.17529818073082784,2,1,4,4,0,0,0,3,3,0,0
0,9,0,0,1,1,2,-0.21166022484775063,1,5,-0.17529818073082784,2,1,5,5,0,0,0,3,3,0,1
0,8,1,6,0,1,2,-2.9540384395550423,2,5,-0.17529818073082784,2,3,7,0,0,0,0,3,3,0,2
0,8,6,2,1,0,2,-0.9528435261199916,1,0,-0.17529818073082784,2,3,4,4,0,0,0,0,3,0,1
0,9,1,17,1,1,2,-0.7304885357383193,0,1,-0.17529818073082784,2,3,3,4,0,0,0,3,3,0,0
0,11,5,13,1,1,1,0.6777597366789385,7,2,-0.17529818073082784,2,3,6,6,0,0,0,3,3,0,1
