iter	Logloss
0	0.6929986249
1	0.692857022
2	0.6927325983
3	0.6925864603
4	0.6924637761
5	0.6923397799
6	0.6922130128
7	0.692089509
8	0.6919435489
9	0.6918156753
10	0.6916790701
11	0.6915550375
12	0.6914319423
13	0.6912462291
14	0.69112382
15	0.6910006345
16	0.6908673411
17	0.6907220209
18	0.6905992914
19	0.6904548521
20	0.6903327072
21	0.6902104304
22	0.6900884697
23	0.6899639452
24	0.6898184323
25	0.6896727862
26	0.689550678
27	0.6894262321
28	0.6892654935
29	0.6891417105
30	0.6889973044
31	0.6888738696
32	0.6887468768
33	0.6886244377
34	0.6885015126
35	0.6883791914
36	0.6882567991
37	0.6881123348
38	0.6879900491
39	0.6878583155
40	0.687725888
41	0.6875937127
42	0.6874708867
43	0.6873485556
44	0.6872264441
45	0.6870630457
46	0.6869192078
47	0.6867971132
48	0.6866740278
49	0.6865301851
50	0.6863926837
51	0.686266044
52	0.6861445339
53	0.6859835879
54	0.6858613205
55	0.68573978
56	0.6856169784
57	0.6854953643
58	0.6853719936
59	0.6852514286
60	0.6851253901
61	0.6850026239
62	0.6848685913
63	0.684746361
64	0.684625547
65	0.6844938608
66	0.6843510364
67	0.6842249068
68	0.6841039274
69	0.6839830701
70	0.6838389015
71	0.6837066941
72	0.6835856379
73	0.6834637973
74	0.6833208669
75	0.6831987056
76	0.6830767198
77	0.6829540723
78	0.6828115709
79	0.6826910523
80	0.682564998
81	0.6824440266
82	0.6823181286
83	0.6821879177
84	0.682067297
85	0.6819472135
86	0.6817993427
87	0.6816568432
88	0.6815258625
89	0.6814060159
90	0.6812620801
91	0.6811412874
92	0.6809978502
93	0.680878132
94	0.6807374002
95	0.6806176428
96	0.6804729171
97	0.6803535429
98	0.6802175601
99	0.6800868057
