iter	Passed	Remaining
0	7	716
1	14	706
2	25	824
3	29	716
4	36	684
5	42	660
6	46	617
7	52	609
8	58	595
9	62	566
10	66	541
11	71	527
12	76	508
13	79	490
14	85	482
15	91	479
16	95	464
17	99	454
18	103	440
19	106	427
20	109	411
21	112	399
22	114	384
23	119	379
24	123	369
25	126	359
26	128	348
27	131	338
28	134	329
29	137	321
30	140	312
31	143	305
32	147	299
33	151	294
34	155	287
35	159	282
36	162	276
37	165	269
38	167	262
39	170	256
40	173	250
41	177	245
42	180	239
43	183	233
44	186	227
45	190	223
46	195	220
47	197	214
48	200	208
49	203	203
50	206	198
51	210	193
52	212	188
53	215	183
54	223	182
55	228	179
56	238	179
57	243	176
58	257	178
59	259	173
60	264	168
61	268	164
62	273	160
63	276	155
64	279	150
65	282	145
66	285	140
67	288	135
68	291	131
69	294	126
70	297	121
71	300	116
72	303	112
73	306	107
74	308	102
75	311	98
76	313	93
77	316	89
78	319	85
79	322	80
80	324	76
81	327	71
82	330	67
83	333	63
84	336	59
85	337	55
86	340	50
87	343	46
88	345	42
89	347	38
90	350	34
91	352	30
92	355	26
93	357	22
94	360	18
95	362	15
96	364	11
97	366	7
98	369	3
99	371	0
