FraudFound_P,PolicyNumber,Age,RepNumber,Month,MonthClaimed,DayOfWeek,Make,DayOfWeekClaimed,WeekOfMonth,WeekOfMonthClaimed
0,1,21,12,Dec,Jan,Wednesday,Honda,Tuesday,5,1
0,2,34,15,Jan,Jan,Wednesday,Honda,Monday,3,4
0,3,47,7,Oct,Nov,Friday,Honda,Thursday,5,2
0,4,65,4,Jun,Jul,Saturday,Toyota,Friday,2,1
0,5,27,3,Jan,Feb,Monday,Honda,Tuesday,5,2
0,6,20,12,Oct,Nov,Friday,Honda,Wednesday,4,1
0,7,36,14,Feb,Feb,Saturday,Honda,Monday,1,3
0,8,0,1,Nov,Mar,Friday,Honda,Tuesday,1,4
0,9,30,7,Dec,Dec,Saturday,Honda,Wednesday,4,5
0,10,42,7,Apr,Apr,Tuesday,Ford,Wednesday,3,3
0,11,71,7,Mar,Mar,Sunday,Mazda,Wednesday,2,3
0,12,52,13,Mar,Mar,Monday,Honda,Monday,5,5
0,13,28,11,Jan,Jan,Friday,Ford,Friday,3,3
0,14,0,12,Jan,Feb,Friday,Honda,Wednesday,5,1
0,15,61,3,Jan,Feb,Monday,Ford,Thursday,5,1
0,16,38,16,Aug,Aug,Tuesday,Ford,Monday,4,5
0,17,41,15,Apr,May,Thursday,Ford,Wednesday,4,1
0,18,28,6,Jul,Aug,Sunday,Chevrolet,Wednesday,5,1
0,19,32,6,May,May,Thursday,Pontiac,Monday,4,5
0,20,30,2,Apr,May,Monday,Honda,Tuesday,4,1
0,21,40,3,Apr,May,Friday,Mazda,Tuesday,2,1
0,22,47,13,Jan,Jan,Saturday,Chevrolet,Monday,2,2
0,23,63,8,Aug,Aug,Sunday,Mazda,Thursday,3,5
0,24,31,5,Jun,Jun,Saturday,Pontiac,Tuesday,3,3
0,25,45,12,Sep,Sep,Friday,Mazda,Friday,3,3
0,26,60,16,Mar,Apr,Monday,Pontiac,Tuesday,3,1
0,27,21,1,Mar,Jun,Thursday,Honda,Thursday,3,4
0,28,42,1,May,May,Sunday,Accura,Friday,3,4
1,29,0,9,Jul,Sep,Saturday,Honda,Tuesday,1,4
0,30,39,12,May,May,Monday,Mazda,Wednesday,3,4
0,31,47,2,Mar,Mar,Friday,Dodge,Saturday,2,2
0,32,0,6,Mar,Mar,Sunday,Honda,Tuesday,1,2
0,33,42,2,Mar,Mar,Wednesday,Chevrolet,Wednesday,2,2
0,34,30,2,Jan,Jan,Monday,Honda,Tuesday,4,4
0,35,42,12,Jan,Jan,Tuesday,Ford,Wednesday,4,4
0,36,34,5,Oct,Oct,Wednesday,Chevrolet,Thursday,2,2
0,37,30,11,Oct,Oct,Tuesday,Honda,Thursday,2,3
0,38,27,4,Sep,Sep,Friday,Mazda,Friday,2,3
0,39,55,12,Nov,Nov,Tuesday,Honda,Thursday,4,4
0,40,35,1,Nov,Jan,Thursday,Toyota,Tuesday,4,1
0,41,35,11,Mar,Apr,Wednesday,Chevrolet,Wednesday,4,1
0,42,44,15,Mar,Mar,Friday,Pontiac,Wednesday,3,4
0,43,42,12,Jul,Jul,Monday,Toyota,Monday,1,1
0,44,41,5,Jan,Jan,Tuesday,Honda,Monday,3,4
0,45,72,16,Jan,Jan,Wednesday,Toyota,Wednesday,3,4
0,46,29,8,Feb,Feb,Wednesday,Pontiac,Thursday,2,2
0,47,32,9,Feb,Feb,Thursday,Pontiac,Monday,2,3
0,48,37,13,Nov,Nov,Thursday,Mazda,Friday,4,4
0,49,37,10,Apr,May,Thursday,Chevrolet,Thursday,3,1
0,50,59,9,Apr,Apr,Friday,Pontiac,Tuesday,3,3
0,51,49,14,May,May,Friday,Pontiac,Friday,4,4
0,52,27,4,Jun,Jun,Wednesday,Pontiac,Friday,4,4
1,53,21,4,Jul,Jan,Sunday,Honda,Wednesday,3,4
1,54,50,13,Jul,Aug,Saturday,Honda,Wednesday,4,2
0,55,45,8,Jun,Jun,Tuesday,Pontiac,Tuesday,4,4
0,56,49,7,Dec,Dec,Monday,Mazda,Wednesday,3,3
0,57,30,5,Jun,Jun,Friday,Honda,Thursday,4,5
0,58,37,11,Nov,Nov,Friday,Accura,Monday,2,2
0,59,0,15,May,May,Monday,Honda,Wednesday,1,4
0,60,27,4,May,May,Wednesday,Chevrolet,Monday,1,2
0,61,30,5,Nov,Nov,Monday,Toyota,Monday,1,3
0,62,49,6,Sep,Jan,Tuesday,Pontiac,Friday,2,4
0,63,0,3,Nov,Jan,Sunday,Honda,Friday,4,3
0,64,26,13,Feb,Mar,Monday,Toyota,Tuesday,5,1
0,65,48,1,Dec,Dec,Friday,Pontiac,Tuesday,1,2
0,66,31,6,Dec,Jan,Friday,Mazda,Monday,4,2
0,67,40,16,Mar,Mar,Friday,Mercury,Friday,3,3
0,68,65,12,Aug,Aug,Thursday,Mazda,Monday,4,5
0,69,64,5,Jan,Jan,Sunday,Toyota,Tuesday,1,1
0,70,55,12,Jan,Jan,Sunday,Honda,Wednesday,1,1
0,71,44,16,Jan,Jan,Sunday,Honda,Wednesday,1,1
0,72,27,9,Jan,Jan,Tuesday,Mazda,Thursday,1,1
0,73,28,5,Sep,Jan,Thursday,Chevrolet,Monday,4,5
0,74,47,7,Jan,Jan,Monday,Honda,Tuesday,1,1
0,75,60,12,Apr,May,Saturday,Mazda,Tuesday,5,1
0,76,33,9,Aug,Aug,Saturday,Ford,Wednesday,1,4
0,77,27,1,Oct,Jan,Tuesday,Chevrolet,Monday,4,1
0,78,47,12,Feb,Feb,Friday,Honda,Tuesday,2,3
0,79,29,16,Feb,Feb,Friday,Jaguar,Tuesday,2,3
0,80,33,10,Feb,Mar,Saturday,Toyota,Friday,4,1
0,81,38,13,Jan,Jan,Wednesday,Pontiac,Wednesday,3,3
0,82,37,6,Jan,Jan,Thursday,Mazda,Friday,3,4
0,83,36,13,Dec,Apr,Friday,Chevrolet,Thursday,2,3
0,84,44,9,Nov,Feb,Tuesday,Toyota,Friday,5,1
0,85,0,6,Dec,Jan,Wednesday,Honda,Monday,1,1
0,86,27,4,Dec,Mar,Tuesday,Chevrolet,Tuesday,2,1
0,87,27,14,May,May,Tuesday,Toyota,Wednesday,4,4
0,88,39,1,May,May,Sunday,Mazda,Wednesday,4,4
0,89,74,13,Oct,Oct,Saturday,Pontiac,Monday,5,5
0,90,23,8,Oct,Oct,Sunday,Honda,Monday,4,4
0,91,25,2,Oct,Oct,Sunday,Honda,Tuesday,4,4
0,92,38,13,Jan,Jan,Wednesday,Pontiac,Wednesday,2,2
0,93,41,16,Jan,Jan,Thursday,Honda,Monday,2,4
0,94,38,13,Aug,Aug,Saturday,Pontiac,Monday,4,5
1,95,34,7,Nov,Jan,Thursday,Honda,Friday,2,3
0,96,61,15,May,May,Tuesday,Honda,Thursday,2,2
1,97,38,7,Nov,Jan,Friday,Toyota,Tuesday,2,1
0,98,40,4,Jan,Jan,Thursday,Toyota,Monday,3,4
0,99,41,12,Nov,Jan,Monday,Pontiac,Wednesday,3,4
0,100,36,10,Jan,Jan,Friday,Pontiac,Monday,4,5
1,101,31,2,Nov,Jan,Tuesday,Chevrolet,Wednesday,3,2
0,102,35,10,Jan,Jan,Saturday,Pontiac,Monday,5,5
0,103,37,14,Jan,Feb,Friday,Ford,Monday,4,1
0,104,55,14,Jan,Jan,Thursday,Mazda,Tuesday,1,2
0,105,31,12,Jan,Jan,Tuesday,Pontiac,Thursday,1,1
0,106,28,5,Dec,Dec,Friday,Dodge,Saturday,3,3
