FraudFound_P,Age,Make,NumberOfSuppliments,AgeOfVehicle,PastNumberOfClaims,VehiclePrice,AgeOfPolicyHolder,MaritalStatus,PolicyType,AccidentArea
0,-1.3975535068833362,6,3,1,3,5,3,2,5,1
0,-0.43401521522942293,6,3,4,3,5,4,2,4,1
0,0.5295230764244904,6,3,5,0,5,6,1,4,1
0,1.863653018714524,17,2,6,0,0,7,1,2,0
0,-0.9528435261199916,6,3,3,3,5,4,2,4,1
0,-1.4716718370105601,6,1,3,3,5,2,2,4,1
0,-0.28577855497497473,6,0,5,0,5,5,1,4,1
0,-2.9540384395550423,6,3,7,0,5,0,2,4,1
0,-0.7304885357383193,6,1,4,3,5,4,2,4,1
0,0.15893142578836986,5,1,6,1,5,5,1,6,1
0,2.3083629994778687,9,3,6,3,5,8,2,0,1
0,0.9001147270606108,6,3,6,1,0,6,1,2,1
0,-0.8787251959927674,5,3,5,0,5,4,1,2,1
0,-2.9540384395550423,6,3,7,3,5,0,2,1,0
0,1.5671796982056276,5,3,6,3,5,7,1,2,1
0,-0.13754189472052653,5,3,4,3,5,5,2,2,1
0,0.08481309566114575,5,3,5,3,5,5,1,0,1
0,-0.8787251959927674,2,0,5,3,0,4,1,1,1
0,-0.5822518754838711,13,3,5,0,0,4,2,2,1
0,-0.7304885357383193,6,2,4,1,5,4,1,2,1
0,0.01069476553392166,9,2,6,0,0,5,1,2,1
0,0.5295230764244904,2,3,6,0,0,6,1,1,1
0,1.715416358460076,9,0,6,0,0,7,1,2,1
0,-0.6563702056110952,13,1,4,3,1,4,2,2,1
0,0.3812864161700421,9,3,6,2,5,5,1,0,1
0,1.4930613680784035,13,3,6,2,0,7,1,2,1
0,-1.3975535068833362,6,2,3,2,1,3,1,1,1
0,0.15893142578836986,0,0,5,1,1,5,1,0,1
1,-2.9540384395550423,6,3,7,3,5,0,2,0,1
0,-0.06342356459330244,9,3,5,3,0,5,1,1,1
0,0.5295230764244904,3,3,6,1,1,6,1,1,1
0,-2.9540384395550423,6,3,7,0,5,0,2,1,1
0,0.15893142578836986,2,1,5,2,0,5,2,1,1
0,-0.7304885357383193,6,0,4,3,0,4,2,1,1
0,0.15893142578836986,5,3,5,1,5,5,1,6,1
0,-0.43401521522942293,2,2,5,1,0,4,2,2,1
