FraudFound_P,PolicyNumber,Age,RepNumber,MonthClaimed,Month,DayOfWeek,Make,DayOfWeekClaimed,WeekOfMonth,WeekOfMonthClaimed
0,-1.7319384862557297,-1.3975535068833362,0.7645402618701682,5,2,6,6,6,1.7175447290580024,-1.3454080465806197
0,-1.7317138363450668,-0.43401521522942293,1.4167426760125665,5,4,6,6,2,0.16419929081316983,1.037294615446847
0,-1.731489186434404,0.5295230764244904,-0.32246376170049584,10,10,0,6,5,1.7175447290580024,-0.5511738259047975
0,-1.731264536523741,1.863653018714524,-0.9746661758428942,6,6,2,17,1,-0.6124734283092464,-1.3454080465806197
0,-1.731039886613078,-0.9528435261199916,-1.192066980557027,4,4,1,6,6,1.7175447290580024,-0.5511738259047975
0,-1.7308152367024152,-1.4716718370105601,0.7645402618701682,10,10,0,6,7,0.9408720099355862,-1.3454080465806197
0,-1.7305905867917522,-0.28577855497497473,1.1993418712984338,4,3,2,6,2,-1.3891461474316629,0.2430603947710248
0,-1.7303659368810893,-2.9540384395550423,-1.6268685899852926,8,9,0,6,6,-1.3891461474316629,1.037294615446847
0,-1.7301412869704265,-0.7304885357383193,-0.32246376170049584,3,2,2,6,7,0.9408720099355862,1.8315288361226694
0,-1.7299166370597634,0.15893142578836986,-0.32246376170049584,1,0,5,5,7,0.16419929081316983,0.2430603947710248
0,-1.7296919871491006,2.3083629994778687,-0.32246376170049584,8,7,3,9,7,-0.6124734283092464,0.2430603947710248
0,-1.7294673372384377,0.9001147270606108,0.9819410665843009,8,7,1,6,2,1.7175447290580024,1.8315288361226694
0,-1.7292426873277749,-0.8787251959927674,0.5471394571560354,5,4,0,5,1,0.16419929081316983,0.2430603947710248
0,-1.7290180374171118,-2.9540384395550423,0.7645402618701682,4,4,0,6,7,1.7175447290580024,-1.3454080465806197
0,-1.728793387506449,1.5671796982056276,-1.192066980557027,4,4,1,5,5,1.7175447290580024,-1.3454080465806197
0,-1.728568737595786,-0.13754189472052653,1.6341434807266995,2,1,5,5,2,0.9408720099355862,1.8315288361226694
0,-1.728344087685123,0.08481309566114575,1.4167426760125665,9,0,4,5,7,0.9408720099355862,-1.3454080465806197
0,-1.7281194377744602,-0.8787251959927674,-0.5398645664146287,2,5,3,2,7,1.7175447290580024,-1.3454080465806197
0,-1.7278947878637974,-0.5822518754838711,-0.5398645664146287,9,8,4,13,2,0.9408720099355862,1.8315288361226694
0,-1.7276701379531343,-0.7304885357383193,-1.40946778527116,9,0,1,6,6,0.9408720099355862,-1.3454080465806197
0,-1.7274454880424714,0.01069476553392166,-1.192066980557027,9,0,0,9,6,-0.6124734283092464,-1.3454080465806197
0,-1.7272208381318086,0.5295230764244904,0.9819410665843009,5,4,2,2,2,-0.6124734283092464,-0.5511738259047975
0,-1.7269961882211455,1.715416358460076,-0.10506295698636302,2,1,3,9,5,0.16419929081316983,1.8315288361226694
0,-1.7267715383104827,-0.6563702056110952,-0.7572653711287615,7,6,2,13,6,0.16419929081316983,0.2430603947710248
0,-1.7265468883998198,0.3812864161700421,0.7645402618701682,12,11,0,9,1,0.16419929081316983,0.2430603947710248
0,-1.7263222384891568,1.4930613680784035,1.6341434807266995,1,7,1,13,6,0.16419929081316983,-1.3454080465806197
0,-1.726097588578494,-1.3975535068833362,-1.6268685899852926,7,7,4,6,5,0.16419929081316983,1.037294615446847
0,-1.725872938667831,0.15893142578836986,-1.6268685899852926,9,8,3,0,1,0.16419929081316983,1.037294615446847
1,-1.7256482887571682,-2.9540384395550423,0.11233784772776978,12,5,2,6,6,-1.3891461474316629,1.037294615446847
0,-1.7254236388465052,-0.06342356459330244,0.7645402618701682,9,8,1,9,7,0.16419929081316983,1.037294615446847
0,-1.7251989889358423,0.5295230764244904,-1.40946778527116,8,7,0,3,3,-0.6124734283092464,-0.5511738259047975
0,-1.7249743390251795,-2.9540384395550423,-0.5398645664146287,8,7,3,6,6,-1.3891461474316629,-0.5511738259047975
0,-1.7247496891145164,0.15893142578836986,-1.40946778527116,8,7,6,2,7,-0.6124734283092464,-0.5511738259047975
0,-1.7245250392038536,-0.7304885357383193,-1.40946778527116,5,4,1,6,6,0.9408720099355862,1.037294615446847
0,-1.7243003892931907,0.15893142578836986,0.7645402618701682,5,4,5,5,7,0.9408720099355862,1.037294615446847
0,-1.7240757393825277,-0.43401521522942293,-0.7572653711287615,11,10,6,2,5,-0.6124734283092464,-0.5511738259047975
0,-1.7238510894718648,-0.7304885357383193,0.5471394571560354,11,10,5,6,5,-0.6124734283092464,0.2430603947710248
0,-1.723626439561202,-0.9528435261199916,-0.9746661758428942,12,11,0,9,1,-0.6124734283092464,0.2430603947710248
0,-1.723401789650539,1.122469717442283,0.7645402618701682,10,9,5,6,5,0.9408720099355862,1.037294615446847
0,-1.723177139739876,-0.3598968851021988,-1.6268685899852926,5,9,4,17,6,0.9408720099355862,-1.3454080465806197
0,-1.7229524898292132,-0.3598968851021988,0.5471394571560354,1,7,6,2,7,0.9408720099355862,-1.3454080465806197
0,-1.7227278399185504,0.30716808604281803,1.4167426760125665,8,7,0,13,7,0.16419929081316983,1.037294615446847
0,-1.7225031900078873,0.15893142578836986,0.7645402618701682,6,5,1,17,2,-1.3891461474316629,-1.3454080465806197
0,-1.7222785400972245,0.08481309566114575,-0.7572653711287615,5,4,5,6,2,0.16419929081316983,1.037294615446847
0,-1.7220538901865616,2.382481329605093,1.6341434807266995,5,4,6,17,7,0.16419929081316983,1.037294615446847
0,-1.7218292402758986,-0.8046068658655434,-0.10506295698636302,4,3,6,13,5,-0.6124734283092464,-0.5511738259047975
0,-1.7216045903652357,-0.5822518754838711,0.11233784772776978,4,3,4,13,2,-0.6124734283092464,0.2430603947710248
0,-1.7213799404545729,-0.21166022484775063,0.9819410665843009,10,9,4,9,1,0.9408720099355862,1.037294615446847
